entity,invoice_number,invoice_date,year,item_code,quantity,contact_raw,contact_canonical,status,account_raw,product_line,net,is_product_revenue,is_intra_group
Display Technologies,1735,2021-10-22,2021,,3,Apex Tech International Ltd,Apex Tech International Ltd,Paid,Sales - Non Motorised On Wall Screens,Non Motorised On Wall Screens,480.0,1,1
Display Technologies,1736,2021-10-22,2021,DT-FRNT-510,1,Apex Tech Scotland Ltd,Apex Tech Scotland Ltd,Paid,Sales - Non Motorised On Wall Screens,Non Motorised On Wall Screens,2476.5,1,1
Display Technologies,1736,2021-10-22,2021,,1,Apex Tech Scotland Ltd,Apex Tech Scotland Ltd,Paid,Sales - Image Surfaces,Image Surfaces,546.0,1,1
Display Technologies,1737,2021-10-25,2021,DT-FRNT-360,1,Apex Technologies USA,Apex Technologies USA,Paid,Sales - Non Motorised On Wall Screens,Non Motorised On Wall Screens,1365.0,1,0
Display Technologies,1737,2021-10-25,2021,,1,Apex Technologies USA,Apex Technologies USA,Paid,Sales - Image Surfaces,Image Surfaces,292.5,1,0
Display Technologies,1738,2021-10-26,2021,DT-DYN-2S-450,1,Apex Tech Scotland Ltd,Apex Tech Scotland Ltd,Paid,Sales - Motorised On Wall Screens,Motorised On Wall Screens,6610.59,1,1
Display Technologies,1738,2021-10-26,2021,,1,Apex Tech Scotland Ltd,Apex Tech Scotland Ltd,Paid,Sales - Image Surfaces,Image Surfaces,429.0,1,1
Display Technologies,1738,2021-10-26,2021,,1,Apex Tech Scotland Ltd,Apex Tech Scotland Ltd,Paid,Sales - Port Hole Glass,Port Hole Glass,546.0,1,1
Display Technologies,INV-0458,2021-10-28,2021,,4,Apex Technologies USA,Apex Technologies USA,Paid,Warehousing,Warehousing,480.0,0,0
Display Technologies,1739,2021-10-28,2021,DT-CNTP-300,1,Deco 2000 Co. Ltd.,Deco 2000 Co. Ltd.,Paid,Sales - Non Motorised On Wall Screens,Non Motorised On Wall Screens,877.5,1,0
Display Technologies,1739,2021-10-28,2021,,1,Deco 2000 Co. Ltd.,Deco 2000 Co. Ltd.,Paid,Sales - Image Surfaces,Image Surfaces,292.5,1,0
Display Technologies,INV-0459,2021-10-28,2021,,0,Cinema Acoustic Treatment Systems Ltd,Cinema Acoustic Treatment Systems Ltd,Paid,,,0.0,1,0
Display Technologies,INV-0459,2021-10-28,2021,,1,Cinema Acoustic Treatment Systems Ltd,Cinema Acoustic Treatment Systems Ltd,Paid,Warehousing,Warehousing,380.0,0,0
Display Technologies,INV-0459,2021-10-28,2021,,1,Cinema Acoustic Treatment Systems Ltd,Cinema Acoustic Treatment Systems Ltd,Paid,Warehousing,Warehousing,365.0,0,0
Display Technologies,INV-0459,2021-10-28,2021,,1,Cinema Acoustic Treatment Systems Ltd,Cinema Acoustic Treatment Systems Ltd,Paid,Warehousing,Warehousing,350.0,0,0
Display Technologies,INV-0459,2021-10-28,2021,,1,Cinema Acoustic Treatment Systems Ltd,Cinema Acoustic Treatment Systems Ltd,Paid,Warehousing,Warehousing,405.0,0,0
Display Technologies,INV-0459,2021-10-28,2021,,1,Cinema Acoustic Treatment Systems Ltd,Cinema Acoustic Treatment Systems Ltd,Paid,Warehousing,Warehousing,320.0,0,0
Display Technologies,INV-0459,2021-10-28,2021,,1,Cinema Acoustic Treatment Systems Ltd,Cinema Acoustic Treatment Systems Ltd,Paid,Warehousing,Warehousing,320.0,0,0
Display Technologies,INV-0460,2021-10-28,2021,,1,Apex Tech Scotland Ltd,Apex Tech Scotland Ltd,Paid,Wages Payable - Payroll,Wages Payable - Payroll,0.0,0,1
Display Technologies,1740,2021-10-28,2021,DT-FRNT-240,1,Apex Tech Scotland Ltd,Apex Tech Scotland Ltd,Paid,Sales - Non Motorised On Wall Screens,Non Motorised On Wall Screens,741.0,1,1
Display Technologies,1740,2021-10-28,2021,,1,Apex Tech Scotland Ltd,Apex Tech Scotland Ltd,Paid,Sales - Image Surfaces,Image Surfaces,195.0,1,1
Display Technologies,1740,2021-10-28,2021,,1,Apex Tech Scotland Ltd,Apex Tech Scotland Ltd,Paid,Sales - Mistral,Mistral,390.0,1,1
Display Technologies,1740,2021-10-28,2021,,2,Apex Tech Scotland Ltd,Apex Tech Scotland Ltd,Paid,Sales - Mistral,Mistral,936.0,1,1
Display Technologies,1741,2021-11-01,2021,,1,Apex Technologies USA,Apex Technologies USA,Paid,Sales - Non Motorised Mount Solutions,Non Motorised Mount Solutions,295.0,1,0
