source_file,entity,entity_role,invoice_number,invoice_date,year,item_code,quantity,contact_raw,contact_canonical,status,account_raw,product_line,category,category_source,carried_brand,supply,net,is_product_revenue,is_intra_group,description,item_description
gtuk-invoice-lines.csv,GTUK / Apex Tech Scotland Ltd,UK distribution,INV-0816,2012-02-13,2012,,4,DLUK (London) Ltd,DLUK (London) Ltd,Paid,Sales - KEY DIGITAL,KEY DIGITAL,Cables & distribution,brand-map,Key Digital,carried,48.0,1,0,,
gtuk-invoice-lines.csv,GTUK / Apex Tech Scotland Ltd,UK distribution,INV-0817,2012-02-13,2012,,1,Brilliant Living,Brilliant Living,Paid,Sales - IMAGE,IMAGE,Projection screens,brand-map,Image,carried,1495.0,1,0,,
gtuk-invoice-lines.csv,GTUK / Apex Tech Scotland Ltd,UK distribution,INV-0818,2012-02-13,2012,,1,Grahams,Grahams,Paid,Sales - ADA,ADA,Amplifiers,brand-map,ADA,carried,1440.0,1,0,,
gtuk-invoice-lines.csv,GTUK / Apex Tech Scotland Ltd,UK distribution,INV-0819,2012-02-13,2012,,1,Brilliant Living,Brilliant Living,Paid,Sales - STRAIGHTWIRE,STRAIGHTWIRE,Cables & distribution,brand-map,Straight Wire,carried,120.0,1,0,,
gtuk-invoice-lines.csv,GTUK / Apex Tech Scotland Ltd,UK distribution,INV-0820,2012-02-13,2012,,1,Imagine this (UK) Ltd,Imagine this (UK) Ltd,Paid,Sales - AGATH,AGATH,Mirror TVs,brand-map,Agath,carried,675.0,1,0,,
gtuk-invoice-lines.csv,GTUK / Apex Tech Scotland Ltd,UK distribution,INV-0820,2012-02-13,2012,,1,Imagine this (UK) Ltd,Imagine this (UK) Ltd,Paid,Sales - AGATH,AGATH,Mirror TVs,brand-map,Agath,carried,2137.5,1,0,,
gtuk-invoice-lines.csv,GTUK / Apex Tech Scotland Ltd,UK distribution,INV-0821,2012-02-13,2012,,1,DLUK (London) Ltd,DLUK (London) Ltd,Paid,Sales - LEON,LEON,Speakers,brand-map,Leon Speakers,carried,250.0,1,0,,
gtuk-invoice-lines.csv,GTUK / Apex Tech Scotland Ltd,UK distribution,INV-0822,2012-02-13,2012,,1,Icon Connect Ltd,Icon Connect Ltd,Paid,Sales - LEON,LEON,Speakers,brand-map,Leon Speakers,carried,1380.0,1,0,,
gtuk-invoice-lines.csv,GTUK / Apex Tech Scotland Ltd,UK distribution,INV-0822,2012-02-13,2012,,1,Icon Connect Ltd,Icon Connect Ltd,Paid,,,Unclassified,unclassified,,unknown,0.0,1,0,,
gtuk-invoice-lines.csv,GTUK / Apex Tech Scotland Ltd,UK distribution,INV-0822,2012-02-13,2012,,1,Icon Connect Ltd,Icon Connect Ltd,Paid,Sales - LEON,LEON,Speakers,brand-map,Leon Speakers,carried,132.0,1,0,,
